MeanEMG1,MeanEMG2,MeanEMG3,MeanEMG4,MeanEMG5,MeanEMG6,MeanEMG7,MeanEMG8,StdEMG1,StdEMG2,StdEMG3,StdEMG4,StdEMG5,StdEMG6,StdEMG7,StdEMG8,MinEMG1,MinEMG2,MinEMG3,MinEMG4,MinEMG5,MinEMG6,MinEMG7,MinEMG8,MaxEMG1,MaxEMG2,MaxEMG3,MaxEMG4,MaxEMG5,MaxEMG6,MaxEMG7,MaxEMG8,MeanXAccel,MeanYAccel,MeanZAccel,StdXAccel,StdYAccel,StdZAccel,MinXAccel,MinYAccel,MinZAccel,MaxXAccel,MaxYAccel,MaxZAccel,Category
-0.926694560669,-1.02574616457,-0.994951185495,-0.939330543933,-0.984825662483,-0.947168758717,-0.933389121339,-0.931129707113,3.87540770015,5.71556645689,8.7972262496,10.4453227522,5.57009631123,3.03277261732,3.44635607788,3.66987061911,-37.0,-58.0,-107.0,-81.0,-20.0,-18.0,-28.0,-76.0,25.0,47.0,91.0,57.0,32.0,13.0,30.0,53.0,0.141345456995,-0.582963265854,0.864539255401,0.113823231494,0.0376784582125,0.0374779883555,-0.0561523,-0.730957,0.682617,0.339355,-0.458984,0.956543,Down
-0.944025157233,-1.02345013477,-1.03611859838,-0.983288409704,-1.02452830189,-0.957592093441,-0.926145552561,-0.921563342318,4.58269503131,5.88044216025,16.3709680151,8.92005290063,6.02047288425,3.53111526292,4.83970815236,2.94,-17.0,-36.0,-48.0,-39.0,-28.0,-14.0,-32.0,-30.0,14.0,34.0,64.0,26.0,31.0,19.0,35.0,18.0,0.427683705063,-0.325612275105,0.894099024895,0.151737640074,0.0507548909064,0.0507242913682,0.130371,-0.635254,0.816895,0.762207,-0.219238,1.09033,Down
-0.898152812762,-1.02174643157,-1.04643157011,-0.924097397145,-0.983795130143,-0.963811922754,-0.936523929471,-0.911838790932,4.04220989872,4.26986271575,7.82615765466,7.11921057461,5.21867257171,2.93809328682,3.87330487923,2.93278553883,-22.0,-25.0,-47.0,-32.0,-17.0,-13.0,-35.0,-22.0,18.0,42.0,38.0,33.0,21.0,19.0,18.0,21.0,0.430450127778,-0.319702707937,0.902199730159,0.117431963317,0.0500836239471,0.0417712472145,0.158691,-0.591797,0.819336,0.705566,-0.149414,1.104,Down
-0.934274509804,-0.993803921569,-1.04517647059,-0.987764705882,-1.02862745098,-0.931607843137,-0.92462745098,-0.922901960784,3.89785451361,7.74524041292,11.1873745038,8.21739689874,5.45411099521,3.0234099914,3.24556687219,2.11278952169,-18.0,-55.0,-94.0,-41.0,-18.0,-16.0,-35.0,-16.0,11.0,35.0,79.0,31.0,24.0,16.0,17.0,18.0,0.444742650916,-0.351727435897,0.88188407033,0.088638545002,0.0376021515959,0.0310000607598,0.248047,-0.477051,0.789551,0.637207,-0.279297,0.993652,Down
-0.876747608536,-1.00198675497,-1.06813833701,-0.953495217071,-1.01383370125,-0.946504782929,-0.901692420898,-0.901177336277,4.58805829527,6.41073366075,16.0134605801,7.41461064324,5.25351065002,2.74163981984,3.57388435787,2.07833289923,-29.0,-35.0,-75.0,-24.0,-16.0,-12.0,-40.0,-11.0,22.0,42.0,59.0,27.0,17.0,8.0,16.0,11.0,0.449707972607,-0.326699785809,0.88803859901,0.0975094576866,0.0357495432816,0.0316884723392,0.228027,-0.501465,0.82666,0.595215,-0.26709,0.97168,Down
-0.899738048461,-0.98218729535,-1.05245579568,-0.904518664047,-0.968303863785,-0.948592010478,-0.921283562541,-0.924361493124,4.26801134827,8.46849062915,12.9213840355,8.40614097007,5.40030995959,2.89380074022,2.69808392371,3.25166682745,-20.0,-75.0,-62.0,-31.0,-17.0,-10.0,-20.0,-22.0,25.0,71.0,79.0,25.0,19.0,11.0,17.0,35.0,0.39571979881,-0.331393832738,0.90877369256,0.124816439175,0.0296049484759,0.0477048215886,0.187012,-0.458984,0.801758,0.612793,-0.259277,0.993652,Down
-0.896322657177,-0.916725978648,-1.00071174377,-0.908659549229,-1.03570581257,-0.922538552788,-0.920996441281,-0.921826809015,5.24689988247,10.482793493,18.4865980649,10.7882084818,6.88076312226,3.64162689055,7.56397893409,5.00584881639,-30.0,-70.0,-79.0,-40.0,-25.0,-11.0,-97.0,-52.0,19.0,70.0,73.0,39.0,29.0,16.0,57.0,41.0,0.405688373939,-0.383974378182,0.891485557576,0.143674976929,0.0500876968812,0.0491425484977,0.136719,-0.564941,0.763184,0.687012,-0.169434,1.04541,Down
-1.04202898551,-0.990499194847,-1.17600644122,-1.05249597424,-1.02737520129,-0.998550724638,-0.943317230274,-0.997262479871,6.25988445614,10.1367197945,19.6440513447,8.83197534093,5.85271196012,3.45110665921,3.4184044646,2.62401059999,-24.0,-66.0,-71.0,-31.0,-18.0,-14.0,-24.0,-10.0,29.0,55.0,66.0,28.0,32.0,16.0,26.0,14.0,0.431936147368,-0.365519227193,0.890872183333,0.117542059241,0.0501005042372,0.0366116318215,0.194824,-0.525391,0.829102,0.657715,-0.229004,0.99707,Down
-0.923004694836,-0.95289514867,-1.01142410016,-1.01580594679,-0.953834115806,-0.896870109546,-0.931142410016,-0.898122065728,5.53172297021,9.02029392422,13.3397294297,8.00922390179,5.71050459367,4.16141964095,4.41447656079,2.35135586286,-23.0,-63.0,-89.0,-39.0,-16.0,-22.0,-27.0,-10.0,24.0,42.0,70.0,27.0,20.0,31.0,17.0,7.0,0.508221019658,-0.325673149573,0.855243744444,0.135005537573,0.0468933772047,0.0521925127861,0.243164,-0.505371,0.741699,0.733398,-0.212402,1.02148,Down
-0.860675883257,-0.941321044547,-0.906144393241,-0.974347158218,-0.93732718894,-0.850844854071,-0.916589861751,-0.929953917051,4.36289471424,5.00125736058,12.5183004381,8.79990419461,5.85098883339,2.56416435884,2.43375107446,3.03102689964,-19.0,-18.0,-47.0,-39.0,-20.0,-10.0,-12.0,-14.0,13.0,15.0,41.0,38.0,19.0,6.0,12.0,29.0,0.422574428205,-0.347161304274,0.901345917094,0.120072321994,0.041843043815,0.0386407902987,0.17627,-0.501465,0.830078,0.575195,-0.19043,0.984375,Down
